Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.0.2-10.0.0.2-80-37498-6,10.0.0.2,37498,10.128.0.2,80,6,02/08/2018 08:31:06 오후,42985,5,5,202.0,3393.0,202.0,0.0,40.400000000000006,90.3371462909915,1985.0,0.0,678.6,951.34105346085,83633.8257531697,232.63929277654995,4776.111111111111,8887.785936953653,20623.0,10.0,22306.0,5576.5,10401.989056585924,21167.0,84.0,42007.0,10501.75,11560.966089244734,20623.0,118.0,0,0,0,0,160,176,116.31964638827498,116.31964638827498,0.0,1985.0,326.8181818181818,691.9957829614019,478858.1636363637,0,1,0,0,0,0,0,0,1.0,359.5,40.4,678.6,0,0,0,0,0,0,5,202,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37499-6,10.0.0.2,37499,10.128.0.2,80,6,02/08/2018 08:31:06 오후,42527,4,4,182.0,3393.0,182.0,0.0,45.5,90.99999999999999,3393.0,0.0,848.25,1696.5,84064.24154066827,188.1157852658311,6075.285714285715,9788.83508074864,20416.0,23.0,22125.0,7375.0,11960.898335827456,21178.0,60.0,41617.0,13872.333333333332,11373.980364557226,20503.0,739.0,0,0,0,0,128,144,94.05789263291555,94.05789263291555,0.0,3393.0,397.2222222222222,1125.0279749608205,1265687.9444444445,0,1,0,0,0,0,0,0,1.0,446.875,45.5,848.25,0,0,0,0,0,0,4,182,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37497-6,10.0.0.2,37497,10.128.0.2,80,6,02/08/2018 08:31:06 오후,43954,4,4,246.0,3393.0,246.0,0.0,61.5,123.0,3393.0,0.0,848.25,1696.5,82791.09978614005,182.0084633935478,6279.142857142857,10039.111189552115,21120.0,30.0,22804.0,7601.333333333334,12373.398576516207,21881.0,50.0,42834.0,14278.0,11653.795433248346,21120.0,822.0,0,0,0,0,128,144,91.0042316967739,91.0042316967739,0.0,3393.0,404.3333333333333,1123.6990255402022,1262699.5,0,1,0,0,0,0,0,0,1.0,454.875,61.5,848.25,0,0,0,0,0,0,4,246,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37500-6,10.0.0.2,37500,10.128.0.2,80,6,02/08/2018 08:31:06 오후,43500,4,4,173.0,3393.0,173.0,0.0,43.25,86.5,3393.0,0.0,848.25,1696.5,81977.01149425287,183.9080459770115,6214.285714285714,9788.978031682465,20561.0,22.0,22972.0,7657.333333333334,12411.953324651737,21980.0,46.0,42080.0,14026.666666666668,11329.222582919507,20629.0,945.0,0,0,0,0,128,144,91.95402298850576,91.95402298850576,0.0,3393.0,396.2222222222222,1125.2471703783326,1266181.1944444445,0,1,0,0,0,0,0,0,1.0,445.75,43.25,848.25,0,0,0,0,0,0,4,173,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37502-6,10.0.0.2,37502,10.128.0.2,80,6,02/08/2018 08:31:06 오후,42582,6,6,221.0,3393.0,221.0,0.0,36.83333333333333,90.22287219251373,1408.0,0.0,565.5,689.7993186427484,84871.54196608896,281.80921516133577,3871.0909090909095,8206.251866163328,20602.0,6.0,21955.0,4391.0,9285.473143572168,20997.0,45.0,41978.0,8395.6,11049.119842774808,20602.0,136.0,0,0,0,0,192,208,140.90460758066789,140.90460758066789,0.0,1408.0,278.0,527.7314658043426,278500.5,0,1,0,0,0,0,0,0,1.0,301.1666666666667,36.833333333333336,565.5,0,0,0,0,0,0,6,221,6,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37501-6,10.0.0.2,37501,10.128.0.2,80,6,02/08/2018 08:31:06 오후,42910,5,5,173.0,3393.0,173.0,0.0,34.6,77.36795202149271,1985.0,0.0,678.6,951.34105346085,83104.1715217898,233.04591004427874,4767.777777777777,8914.660169879973,20614.0,9.0,22274.0,5568.5,10552.812247611218,21391.0,69.0,42172.0,10543.0,11540.755463429015,20614.0,110.0,0,0,0,0,160,176,116.52295502213937,116.52295502213937,0.0,1985.0,324.18181818181824,692.5738687218596,479658.56363636366,0,1,0,0,0,0,0,0,1.0,356.6,34.6,678.6,0,0,0,0,0,0,5,173,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37503-6,10.0.0.2,37503,10.128.0.2,80,6,02/08/2018 08:31:06 오후,43870,4,4,157.0,3393.0,157.0,0.0,39.25,78.5,3393.0,0.0,848.25,1696.5,80920.90266697059,182.35696375655345,6267.142857142858,10086.315505485167,21134.0,17.0,22719.0,7573.0,12366.947359797405,21846.0,46.0,43013.0,14337.666666666668,11631.580560411096,21134.0,907.0,0,0,0,0,128,144,91.17848187827673,91.17848187827673,0.0,3393.0,394.44444444444446,1125.656487467548,1267102.527777778,0,1,0,0,0,0,0,0,1.0,443.75,39.25,848.25,0,0,0,0,0,0,4,157,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37504-6,10.0.0.2,37504,10.128.0.2,80,6,02/08/2018 08:31:06 오후,44559,5,5,182.0,3393.0,182.0,0.0,36.4,81.39287438099234,1985.0,0.0,678.6,951.34105346085,80230.70535694248,224.42155344599294,4951.0,9143.898730847799,21181.0,10.0,23363.0,5840.75,11104.415559437006,22488.0,10.0,42930.0,10732.5,11972.765442174725,21181.0,41.0,0,0,0,0,160,176,112.21077672299647,112.21077672299647,0.0,1985.0,325.0,692.3826976463233,479393.8,0,1,0,0,0,0,0,0,1.0,357.5,36.4,678.6,0,0,0,0,0,0,5,182,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37505-6,10.0.0.2,37505,10.128.0.2,80,6,02/08/2018 08:31:06 오후,43709,4,4,226.0,3393.0,226.0,0.0,56.50000000000001,113.0,3393.0,0.0,848.25,1696.5,82797.59317303073,183.02866686494772,6244.142857142858,9858.108142177034,20674.0,17.0,23018.0,7672.666666666666,12584.203682924612,22198.0,59.0,42221.0,14073.666666666668,11485.848089424364,20736.0,811.0,0,0,0,0,128,144,91.51433343247386,91.51433343247386,0.0,3393.0,402.1111111111111,1124.0709991415629,1263535.6111111112,0,1,0,0,0,0,0,0,1.0,452.375,56.5,848.25,0,0,0,0,0,0,4,226,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37506-6,10.0.0.2,37506,10.128.0.2,80,6,02/08/2018 08:31:07 오후,42720,5,5,252.0,3393.0,252.0,0.0,50.4,112.6978260659894,1985.0,0.0,678.6,951.34105346085,85323.03370786516,234.0823970037453,4746.666666666666,8888.892436631235,20567.0,12.0,22098.0,5524.5,10351.594192844565,21043.0,101.0,41861.0,10465.25,11581.80516658205,20567.0,137.0,0,0,0,0,160,176,117.04119850187266,117.04119850187266,0.0,1985.0,331.3636363636364,691.2577338051666,477837.2545454546,0,1,0,0,0,0,0,0,1.0,364.5,50.4,678.6,0,0,0,0,0,0,5,252,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
