proto_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time
http,10.0.0.2,37478,10.128.0.2,80,6,0.17,356.58,780.92,12,0.0132
http,10.0.0.2,37479,10.128.0.2,80,6,0.17,348.83,773.0,12,0.0146
http,10.0.0.2,37480,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0141
http,10.0.0.2,37481,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0148
http,10.0.0.2,37482,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0149
http,10.0.0.2,37483,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0159
http,10.0.0.2,37484,10.128.0.2,80,6,0.2,418.1,937.4,10,0.0008
http,10.0.0.2,37486,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0089
http,10.0.0.2,37485,10.128.0.2,80,6,0.17,354.92,779.08,12,0.009
http,10.0.0.2,37488,10.128.0.2,80,6,0.2,415.5,934.8,10,0.0122
http,10.0.0.2,37489,10.128.0.2,80,6,0.14,307.86,664.36,14,0.0102
http,10.0.0.2,37490,10.128.0.2,80,6,0.17,348.83,773.0,12,0.012
http,10.0.0.2,37491,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0106
http,10.0.0.2,37492,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0129
http,10.0.0.2,37493,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0115
http,10.0.0.2,37494,10.128.0.2,80,6,0.17,349.17,773.33,12,0.0129
http,10.0.0.2,37495,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0017
http,10.0.0.2,37497,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0092
http,10.0.0.2,37498,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0083
http,10.0.0.2,37499,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0083
http,10.0.0.2,37500,10.128.0.2,80,6,0.2,410.2,929.5,10,0.009
http,10.0.0.2,37501,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0111
http,10.0.0.2,37502,10.128.0.2,80,6,0.14,311.29,667.64,14,0.0108
http,10.0.0.2,37503,10.128.0.2,80,6,0.2,408.6,927.7,10,0.0118
http,10.0.0.2,37504,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0123
http,10.0.0.2,37505,10.128.0.2,80,6,0.2,415.5,934.8,10,0.0123
http,10.0.0.2,37506,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0012
http,10.0.0.2,37509,10.128.0.2,80,6,0.2,411.1,930.2,10,0.01
